tool	community	rank	metric	value	tool2
kraken	marine5	class	Bray-Curtis distance	0.118366290623883	Kraken2
kraken	marine5	order	Bray-Curtis distance	0.185396400935151	Kraken2
kraken	marine5	family	Bray-Curtis distance	0.200564253796913	Kraken2
kraken	marine5	genus	Bray-Curtis distance	0.238324293876723	Kraken2
kraken	marine5	species	Bray-Curtis distance	0.277105731825956	Kraken2
sourmash	marine5	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine5	phylum	Bray-Curtis distance	0.117439399465917	sourmash
sourmash	marine5	class	Bray-Curtis distance	0.134891790844748	sourmash
sourmash	marine5	order	Bray-Curtis distance	0.158784435924751	sourmash
sourmash	marine5	family	Bray-Curtis distance	0.221461771504704	sourmash
sourmash	marine5	genus	Bray-Curtis distance	0.252882528862517	sourmash
sourmash	marine5	species	Bray-Curtis distance	0.460025058715862	sourmash
singlem	marine6	kingdom	Bray-Curtis distance	0.00162389289624256	SingleM
singlem	marine6	phylum	Bray-Curtis distance	0.0163606841643396	SingleM
singlem	marine6	class	Bray-Curtis distance	0.0215943804861034	SingleM
singlem	marine6	order	Bray-Curtis distance	0.0383727792030184	SingleM
singlem	marine6	family	Bray-Curtis distance	0.0437016175114223	SingleM
singlem	marine6	genus	Bray-Curtis distance	0.0622720434679009	SingleM
singlem	marine6	species	Bray-Curtis distance	0.140493151687002	SingleM
metaphlan	marine6	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine6	phylum	Bray-Curtis distance	0.0730142911981229	MetaPhlAn
metaphlan	marine6	class	Bray-Curtis distance	0.0853376604491139	MetaPhlAn
metaphlan	marine6	order	Bray-Curtis distance	0.140092108051584	MetaPhlAn
metaphlan	marine6	family	Bray-Curtis distance	0.165308903997545	MetaPhlAn
metaphlan	marine6	genus	Bray-Curtis distance	0.203642437969683	MetaPhlAn
metaphlan	marine6	species	Bray-Curtis distance	0.261184917935193	MetaPhlAn
motus	marine6	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine6	phylum	Bray-Curtis distance	0.0821868505067268	mOTUs
motus	marine6	class	Bray-Curtis distance	0.0912085793111999	mOTUs
motus	marine6	order	Bray-Curtis distance	0.162040584155745	mOTUs
motus	marine6	family	Bray-Curtis distance	0.175550149687513	mOTUs
motus	marine6	genus	Bray-Curtis distance	0.206570529240849	mOTUs
motus	marine6	species	Bray-Curtis distance	0.396626296167231	mOTUs
kraken	marine6	kingdom	Bray-Curtis distance	9.00000000000017e-05	Kraken2
kraken	marine6	phylum	Bray-Curtis distance	0.0987977831443173	Kraken2
kraken	marine6	class	Bray-Curtis distance	0.106852744436133	Kraken2
kraken	marine6	order	Bray-Curtis distance	0.185909247391463	Kraken2
